nkcr,wd
ge1093434,Q268459
ge1094668,Q263107
ge1125316,Q252138
ge1126284,Q264256
ge128614,Q263686
ge130852,Q258439
ge131472,Q246837
ge131747,Q246287
ge137819,Q266703
ge139078,Q264402
ge171252,Q260386
ge188159,Q264201
ge191171,Q259995
ge242731,Q246786
ge259401,Q250832
ge292512,Q256454
ge306990,Q246654
ge333351,Q257859
ge338598,Q246893
ge338901,Q265509
ge339399,Q256669
ge341283,Q247010
ge341388,Q260223
ge346060,Q248061
ge346894,Q246775
ge346902,Q246792
ge422529,Q256778
ge422546,Q267329
ge424543,Q269433
ge430141,Q258143
ge463334,Q254012
ge496804,Q265655
ge504747,Q251231
ge561926,Q253119
ge563584,Q258429
ge567885,Q246693
ge594296,Q252595
ge598577,Q269667
ge673761,Q259893
ge678925,Q250024
ge759439,Q256765
ge765364,Q261399
ge766934,Q251897
ge848326,Q259313
ge882057,Q244512
ge904382,Q264620
ge917012,Q261822
ge938448,Q245466
ge946693,Q249613
ge948504,Q257969
ph116528,Q268416
ge1007923,Q277712
ge1014440,Q289693
ge1071592,Q272060
ge1078037,Q278447
ge130235,Q276362
ge130969,Q288709
ge131185,Q270704
ge131703,Q285401
ge137385,Q285145
ge137804,Q279943
ge138882,Q284027
ge290204,Q284433
ge316772,Q271922
ge338964,Q282737
ge346065,Q284366
ge390953,Q288065
ge390957,Q274884
ge446075,Q270887
ge451760,Q280424
ge531999,Q279028
ge601919,Q277965
ge632492,Q284649
ge671754,Q273442
ge691467,Q278420
ge722617,Q275630
ge807391,Q276860
ge923635,Q275882
ph117129,Q459982
ph127186,Q461262
ge1016914,Q377691
ge1067406,Q375815
ge1086294,Q385026
ge1105617,Q397443
ge1124024,Q397372
ge129617,Q374095
ge131534,Q391753
ge131547,Q392340
ge131548,Q392429
ge131603,Q393599
ge134411,Q397600
ge192290,Q393493
ge212952,Q387004
ge213662,Q380080
ge230836,Q382500
ge261696,Q393384
ge273495,Q384947
ge280845,Q391027
ge292515,Q391317
ge292516,Q390917
ge327081,Q392578
ge327536,Q405236
ge336824,Q394402
ge351043,Q378366
ge371252,Q378087
ge375988,Q394436
ge375990,Q393969
ge382590,Q394075
ge388962,Q386677
ge396076,Q405317
ge430139,Q376316
ge438834,Q390991
ge440549,Q392231
ge501815,Q396613
ge504432,Q376954
ge518937,Q405426
ge545926,Q387148
ge572423,Q403100
ge585876,Q393550
ge618327,Q374096
ge629252,Q397724
ge646140,Q393839
ge758181,Q389412
ge760567,Q391673
ge765358,Q375776
ge766636,Q383813
ge767511,Q404939
ge771660,Q379146
ge780622,Q404513
ge785613,Q394489
ge801348,Q387449
ph118116,Q380356
ph118588,Q380313
ph119470,Q378426
ph125313,Q375470
ph549704,Q392121
ph120702,Q290912
ph126989,Q281460
ph380392,Q284465
ge1029360,Q474314
ge1105272,Q486913
ge1123450,Q488718
ge128973,Q463529
ge129091,Q481528
ge129131,Q484401
ge129261,Q475016
ge130531,Q470445
ge130575,Q470380
ge134129,Q484420
ge327507,Q483522
ge400611,Q489045
ge402115,Q488346
ge451781,Q479329
ge506492,Q484552
ge560204,Q485716
ge630812,Q484799
ge636745,Q486991
ge658908,Q486986
ge691145,Q486362
ge694279,Q486562
ge763423,Q486551
ge1057568,Q302785
ge1082337,Q305159
ge1086503,Q315841
ge1106678,Q298874
ge1125087,Q309172
ge296471,Q303003
ge338928,Q315498
ge342331,Q315446
ge345855,Q304706
ge402024,Q314922
ge550392,Q303423
ge691442,Q315679
ge722036,Q294772
ge1074802,Q428459
ge1121831,Q427243
ge129875,Q405649
ge130826,Q429682
ge170708,Q429323
ge180687,Q432029
ge291849,Q430693
ge382343,Q431696
ge628674,Q430449
ge636647,Q409102
ge726189,Q426807
ge766967,Q432541
ge874238,Q405742
ge894059,Q427153
ge901914,Q421648
ge919642,Q405797
ge940251,Q406470
ph115052,Q465924
ph135743,Q471894
ph349433,Q483604
ph694583,Q476915
ge1008862,Q493378
ge1041641,Q497668
ge1044299,Q496360
ge1056025,Q497148
ge1057328,Q501636
ge1075677,Q497179
ge1084091,Q503692
ge1123458,Q505927
ge129205,Q516474
ge134041,Q496050
ge235970,Q494702
ge307151,Q504872
ge339152,Q514642
ge341130,Q501965
ge363828,Q503266
ge382691,Q510274
ge419632,Q509084
ge452057,Q502681
ge457015,Q504746
ge466366,Q504074
ge559241,Q500080
ge561506,Q510870
ge574829,Q502631
ge591219,Q502371
ge611979,Q492503
ge649016,Q506871
ge654812,Q510827
ge678810,Q502424
ge680808,Q510112
ge680879,Q498869
ge707853,Q503862
ge708262,Q497060
ge730950,Q510035
ge748475,Q509566
ge753055,Q503331
ge755468,Q498256
ge757412,Q506745
ge758563,Q505765
ge759905,Q506745
ge760782,Q516262
ge761239,Q492659
ge763085,Q507077
ge763432,Q503763
ge766589,Q501259
ge766938,Q503628
ge836533,Q507945
ge876377,Q503543
ge895044,Q505185
ge899885,Q516457
ge990454,Q501875
ge1041667,Q463459
ge1104566,Q457167
ge146482,Q460915
ge320128,Q453881
ge615911,Q452251
ge672203,Q460795
ge839253,Q436691
ge938447,Q436691
ph520054,Q504633
ph138572,Q316711
ph369436,Q312212
ph541857,Q296754
ge1051614,Q518690
ge1059156,Q536504
ge1071687,Q544439
ge1089060,Q524439
ge1105564,Q542740
ge128733,Q541470
ge129241,Q542224
ge130243,Q536625
ge134024,Q538636
ge216143,Q524364
ge255013,Q527002
ge262562,Q537274
ge276856,Q535889
ge307470,Q521925
ge339835,Q535173
ge346510,Q537089
ge346783,Q539366
ge372067,Q534709
ge388467,Q521954
ge451779,Q521751
ge541110,Q524405
ge545179,Q528716
ge557006,Q532344
ge597002,Q522320
ge603432,Q527809
ge627173,Q522100
ge638645,Q519650
ge649017,Q527597
ge679988,Q539764
ge749578,Q534799
ge894057,Q521132
ge984654,Q534144
ph456979,Q531589
ge1006323,Q559059
ge1029622,Q552604
ge1123406,Q558563
ge129389,Q550369
ge131073,Q556632
ge205863,Q573140
ge292503,Q559834
ge343964,Q570008
ge482175,Q565620
ge501299,Q547659
ge563442,Q556200
ge616310,Q567253
