wikibase_item,pdf,zot
Q35441,https://www.inguma.eus/fso/fitxategia/67-ikergazte.iv.03.49-56.instalazio-termiko.pdf,N72TAREB
Q35471,https://www.inguma.eus/fso/fitxategia/238-ikergazte.iii.04.157_165.pdf,TPA6A7YE
Q35474,https://www.inguma.eus/fso/fitxategia/235-ikergazte.iii.04.130_143.pdf,376BXX6X
Q35481,https://www.inguma.eus/fso/fitxategia/228-ikergazte.iii.04.76_83.pdf,HRT399FM
Q35496,https://www.inguma.eus/fso/fitxategia/212-ikergazte.iii.03.117_124.pdf,KGR4JF5S
Q35503,https://www.inguma.eus/fso/fitxategia/206-ikergazte.iii.03.64_71.pdf,2Q3DVG6S
Q35508,https://www.inguma.eus/fso/fitxategia/201-ikergazte.iii.03.26_33.pdf,E4UVWU9E
Q35524,https://www.inguma.eus/fso/fitxategia/162-ikergazte.iii.02.50_55.pdf,HM74Q6X6
Q35532,https://www.inguma.eus/fso/fitxategia/196-ikergazte.iii.01.128_138.pdf,4JZCIFRH
Q35536,https://www.inguma.eus/fso/fitxategia/192-ikergazte.iii.01.99_106.pdf,DF5C3RQM
Q35540,https://www.inguma.eus/fso/fitxategia/188-ikergazte.iii.01.69_75.pdf,UHHTVP95
Q35542,https://www.inguma.eus/fso/fitxategia/186-ikergazte.iii.01.53_58.pdf,4S44YSV2
Q35553,https://www.inguma.eus/fso/fitxategia/382-ikergazte.ii.05.159_164.pdf,UDARSY6X
Q35556,https://www.inguma.eus/fso/fitxategia/379-ikergazte.ii.05.138_145.pdf,3957HHCD
Q35557,https://www.inguma.eus/fso/fitxategia/378-ikergazte.ii.05.130_137.pdf,B7J7SS9V
Q35559,https://www.inguma.eus/fso/fitxategia/376-ikergazte.ii.05.116_123.pdf,ULSST8HS
Q35570,https://www.inguma.eus/fso/fitxategia/365-ikergazte.ii.05.39_44.pdf,8VR94JWS
Q35585,https://www.inguma.eus/fso/fitxategia/326-ikergazte.ii.03.97_102.pdf,WW6C6P6K
Q35589,https://www.inguma.eus/fso/fitxategia/322-ikergazte.ii.03.67_74.pdf,N745N8SP
Q35602,https://www.inguma.eus/fso/fitxategia/286-ikergazte.ii.02.199_205.pdf,S8EX9JUI
Q35609,https://www.inguma.eus/fso/fitxategia/176-ikergazte.iii.02.122_130.pdf,9A3WTT95
Q35618,https://www.inguma.eus/fso/fitxategia/270-ikergazte.ii.02.71_76.pdf,VPH6NC2B
Q35626,https://www.inguma.eus/fso/fitxategia/358-ikergazte.ii.04.168_177.pdf,PVQVCS23
Q35629,https://www.inguma.eus/fso/fitxategia/355-ikergazte.ii.04.145_152.pdf,ZW4SFATY
Q35633,https://www.inguma.eus/fso/fitxategia/351-ikergazte.ii.04.120_127.pdf,QDBJFE8T
Q35643,https://www.inguma.eus/fso/fitxategia/341-ikergazte.ii.04.50_57.pdf,KM4R3S7N
Q35657,https://www.inguma.eus/fso/fitxategia/303-ikergazte.ii.01.103_110.pdf,X83G6H2T
Q35666,https://www.inguma.eus/fso/fitxategia/294-ikergazte.ii.01.40_47.pdf,HCEKZR2B
Q35671,https://www.inguma.eus/fso/fitxategia/503-ikergazte.i.832_837.pdf,FZNFKTVP
Q35685,https://www.inguma.eus/fso/fitxategia/489-ikergazte.i.739_744.pdf,SB6EALIM
Q35297,https://www.inguma.eus/fso/fitxategia/25-ikergazte.iv.04.227-233.1motako-kannabidoide.pdf,BF63DGAR
Q35298,https://www.inguma.eus/fso/fitxategia/155-ikergazte.iv.04.219-226.erizaintza-euskaraz.pdf,9SXJI8ES
Q35299,https://www.inguma.eus/fso/fitxategia/130-ikergazte.iv.04.211-218.nerabezaroko-gehiegizko.pdf,DCQJQUVL
Q35300,https://www.inguma.eus/fso/fitxategia/23-ikergazte.iv.04.203-210.hipokanpoaren-mendeko.pdf,X9X3XU5E
Q35301,https://www.inguma.eus/fso/fitxategia/22-ikergazte.iv.04.193-201.nutrizio-irakasgaiaren.pdf,VGJC5KIL
Q35304,https://www.inguma.eus/fso/fitxategia/18-ikergazte.iv.04.167-175.erizaintzako-ikasleen.pdf,WP5XKBP5
Q35305,https://www.inguma.eus/fso/fitxategia/19-ikergazte.iv.04.159-165.omega3-gantz.pdf,6XMVAT6H
Q35306,https://www.inguma.eus/fso/fitxategia/17-ikergazte.iv.04.151-157.RNAren-M6metiladenosina.pdf,5WA4ET22
Q35307,https://www.inguma.eus/fso/fitxategia/15-ikergazte.iv.04.143-150.hezkuntza-nutrizionala.pdf,7KBS47ST
Q35312,https://www.inguma.eus/fso/fitxategia/11-ikergazte.iv.04.107-113.RNA-zirkular.pdf,VF7MAQ8W
Q35313,https://www.inguma.eus/fso/fitxategia/10-ikergazte.iv.04.101-106.hiriko-gune.pdf,YQ92FXVW
Q35315,https://www.inguma.eus/fso/fitxategia/8-ikergazte.iv.04.85-92.SLUG-genearen.pdf,689A9IDA
Q35318,https://www.inguma.eus/fso/fitxategia/5-ikergazte.iv.04.61-67.gernutik-lortutako.pdf,7XBIYIHF
