oocc_item,oocc_st,oocc_id,lehen_argi,oocc_text,jatorrizko_argitalpena,jat_date,jat_tit
https://wikibase.inguma.eus/entity/Q44465,https://wikibase.inguma.eus/entity/statement/Q44465-CEAB4D61-0794-4856-996E-05C92264BB46,336,1962,"R. Azkarate, «Galtzaundi» ta beste bertso asko, Egan 1962 [1-3], 90 [= MEIG III, 81]. → XIII 344",https://wikibase.inguma.eus/entity/Q44945,1988-01-01T00:00:00Z,"R. Azkarate, «Galtzaundi» ta beste bertso asko"
https://wikibase.inguma.eus/entity/Q44463,https://wikibase.inguma.eus/entity/statement/Q44463-4DECE60F-5EA7-412B-A932-8AE3BCD45863,338,1962,"Bertsolariak. Errege eguneko bertso-sayoa (1962), Egan 1962 [1-3], 90 [= MEIG III, 83]. → XIII 362",https://wikibase.inguma.eus/entity/Q44859,1988-01-01T00:00:00Z,"Bertsolariak. Errege eguneko bertso,sayoa (1962), Egan 1962 [1,3]"
https://wikibase.inguma.eus/entity/Q44462,https://wikibase.inguma.eus/entity/statement/Q44462-E1DA8FB6-5D16-4C14-994E-026AE163919B,339,1962,"I. Bizcarrondo ‘Bilintx’, Bertso ta lan guziak, Egan 1962 [1-3], 91-92 [= MEIG III, 83-84]. → XI 649-650",https://wikibase.inguma.eus/entity/Q44863,1988-01-01T00:00:00Z,"I. Bizcarrondo ‘Bilintx’, Bertso ta lan guziak"
https://wikibase.inguma.eus/entity/Q44459,https://wikibase.inguma.eus/entity/statement/Q44459-814136F4-CC60-4765-B7CC-082713592D71,341,1962,"Dunixi [D. Azkue], Mi pueblo, ayer. (Croquis donostiarras), Egan 1962 [1-3], 94 [= MEIG III, 87]. → XIII 372",https://wikibase.inguma.eus/entity/Q44864,1988-01-01T00:00:00Z,"Dunixi [D. Azkue], Mi pueblo"
https://wikibase.inguma.eus/entity/Q44457,https://wikibase.inguma.eus/entity/statement/Q44457-37F2EF27-6C0F-489B-AD9E-6B02BF9981FC,343,1962,"E. Erkiaga, Araibar zalduna, Egan 1962 [1-3], 87 [= MEIG III, 78-79]. → XIII 379-380",https://wikibase.inguma.eus/entity/Q44868,1988-01-01T00:00:00Z,"E. Erkiaga, Araibar zalduna"
https://wikibase.inguma.eus/entity/Q44456,https://wikibase.inguma.eus/entity/statement/Q44456-47915D9D-6EBD-4BA5-842A-44194D069266,344,1962,"E. Erkiaga, Batetik bestera: galdu-gordeko ibillerak, Egan 1962 [4-6], 303-304 [= MEIG III, 91-92]. → XIII 381-382",https://wikibase.inguma.eus/entity/Q44869,1988-01-01T00:00:00Z,"E. Erkiaga, Batetik bestera: galdu,gordeko ibillerak"
https://wikibase.inguma.eus/entity/Q44455,https://wikibase.inguma.eus/entity/statement/Q44455-C4B45870-A7F8-442E-9345-D3264AD0A506,345,1962,"Ezkontza galdutako bertsoak. I, Egan 1962 [4-6], 307 [= MEIG III, 96]. → XIII 406",https://wikibase.inguma.eus/entity/Q44870,1988-01-01T00:00:00Z,"Ezkontza galdutako bertsoak. I, Egan 1962 [4,6]"
https://wikibase.inguma.eus/entity/Q44454,https://wikibase.inguma.eus/entity/statement/Q44454-4E077AAF-2337-40E8-87CB-2078A647348A,346,1962,"B. Gandiaga, Elorri, Egan 1962 [1-3], 88-89 [= MEIG III, 79-81]. → XIII 409-410",https://wikibase.inguma.eus/entity/Q45026,1988-01-01T00:00:00Z,"B. Gandiaga, Elorri"
https://wikibase.inguma.eus/entity/Q44453,https://wikibase.inguma.eus/entity/statement/Q44453-4C4C2EA3-A10E-408E-9164-55759554A44F,347,1962,"F. Goñi, Lurdes-ko gertaerak, Egan 1962 [4-6], 310 [= MEIG III, 99-100]. → XIII 416",https://wikibase.inguma.eus/entity/Q44942,1988-01-01T00:00:00Z,"F. Goñi, Lurdes,ko gertaerak"
https://wikibase.inguma.eus/entity/Q44452,https://wikibase.inguma.eus/entity/statement/Q44452-1D3080B0-A464-4064-90F8-408AA7E35D07,348,1962,"B. Iraola, Oroitzak eta beste ipui asko, Egan 1962 [1-3], 90 [= MEIG III, 82]. → XIII 426",https://wikibase.inguma.eus/entity/Q44946,1988-01-01T00:00:00Z,"B. Iraola, Oroitzak eta beste ipui asko"
https://wikibase.inguma.eus/entity/Q44451,https://wikibase.inguma.eus/entity/statement/Q44451-A01E34E0-C6EC-4691-9C92-9409600382B5,349,1962,"M. Izeta, Dirua galgarri, Egan 1962 [1-3], 92 [= MEIG III, 85]. → XIII 430",https://wikibase.inguma.eus/entity/Q44943,1988-01-01T00:00:00Z,"M. Izeta, Dirua galgarri"
https://wikibase.inguma.eus/entity/Q44449,https://wikibase.inguma.eus/entity/statement/Q44449-95E79227-8727-47B7-85AD-92DE92583D41,350,1962,"A. M. Labayen, Malentxo alargun, Egan 1962 [4-6], 308-309 [= MEIG III, 97-98].; A. M. Labayen, Malentxo alargun, Egan 1962 [4-6], 308-309 [= MEIG III, 97-98]. → XIII 445",https://wikibase.inguma.eus/entity/Q45023,1988-01-01T00:00:00Z,"A. M. Labayen, Malentxo alargun"
https://wikibase.inguma.eus/entity/Q44448,https://wikibase.inguma.eus/entity/statement/Q44448-4CBAA06C-BE29-4896-A607-3B6B9119A24A,351,1962,"P. Lafitte, Grammaire basque, Egan 1962 [4-6], 313-314 [= MEIG III, 103-104]. → X 663",https://wikibase.inguma.eus/entity/Q44947,1988-01-01T00:00:00Z,"P. Lafitte, Grammaire basque"
https://wikibase.inguma.eus/entity/Q44447,https://wikibase.inguma.eus/entity/statement/Q44447-E179F7F6-E2A8-446C-964F-8AB5659475F8,352,1962,"P. Larzabal, Bordaxuri, Egan 1962 [1-3], 91 [= MEIG III, 83]. → XIII 448",https://wikibase.inguma.eus/entity/Q44948,1988-01-01T00:00:00Z,"P. Larzabal, Bordaxuri"
https://wikibase.inguma.eus/entity/Q44446,https://wikibase.inguma.eus/entity/statement/Q44446-FF81F4E5-1ED5-4983-BE9C-6330FF88613F,353,1962,"P. Larzabal, Iru ziren; Herriko bozak edo nor alkate, Egan 1962 [4-6], 306-307 [= MEIG III, 95-96]. → XIII 449-450",https://wikibase.inguma.eus/entity/Q44871,1988-01-01T00:00:00Z,"P. Larzabal, Iru ziren; Herriko bozak edo nor alkate"
https://wikibase.inguma.eus/entity/Q44445,https://wikibase.inguma.eus/entity/statement/Q44445-1E37DAE3-C863-4969-AC94-2DCF2D60F4F9,354,1962,"Lau Ebanjelioak, Arantzazuko prailleek egiña, Egan 1962 [4-6], 310-311 [= MEIG III, 100-101]. → XIII 453-454",https://wikibase.inguma.eus/entity/Q44949,1988-01-01T00:00:00Z,"Lau Ebanjelioak, Arantzazuko prailleek egiña"
https://wikibase.inguma.eus/entity/Q44444,https://wikibase.inguma.eus/entity/statement/Q44444-F0119332-38E2-48DD-A818-939E02652AA6,355,1962,"I. López Mendizábal, Manual de conversación castellano-euskera, Egan 1962 [4-6], 314 [= MEIG III, 104]. → X 663",https://wikibase.inguma.eus/entity/Q44872,1988-01-01T00:00:00Z,"I. López Mendizábal, Manual de conversación castellano,euskera"
https://wikibase.inguma.eus/entity/Q44443,https://wikibase.inguma.eus/entity/statement/Q44443-1FEBEEA6-D8B3-4484-AD6C-7501477CA856,356,1962,"F. Michel, Poesías populares de los vascos, Egan 1962 [1-3], 93 [= MEIG III, 86-87]. → XIII 474",https://wikibase.inguma.eus/entity/Q44950,1988-01-01T00:00:00Z,"F. Michel, Poesías populares de los vascos"
https://wikibase.inguma.eus/entity/Q44442,https://wikibase.inguma.eus/entity/statement/Q44442-828D84E4-47E2-4268-8A7D-FAB5FA9D4BDA,357,1962,"G. Muxika, Los titanes de la cultura vasca, Egan 1962 [1-3], 92-93 [= MEIG III, 85-86]. → X 299-300",https://wikibase.inguma.eus/entity/Q44955,1988-01-01T00:00:00Z,"G. Muxika, Los titanes de la cultura vasca"
https://wikibase.inguma.eus/entity/Q44441,https://wikibase.inguma.eus/entity/statement/Q44441-91A25832-566A-44A8-A357-5A6F85567E24,358,1962,"Oskillaso, Kurloiak, Egan 1962 [4-6], 304-305 [= MEIG III, 92-95]. → XIII 515-516",https://wikibase.inguma.eus/entity/Q45027,1988-01-01T00:00:00Z,"Oskillaso, Kurloiak"
https://wikibase.inguma.eus/entity/Q44440,https://wikibase.inguma.eus/entity/statement/Q44440-4C3250CA-0255-4180-B2FF-C1D77E2D3537,359,1962,"[L. Villasante], Goi-argi. Ars-ko erretore santuaren erakusaldiak, Egan 1962 [4-6], 311-312 [= MEIG III, 101]. → XIII 553",https://wikibase.inguma.eus/entity/Q44865,1988-01-01T00:00:00Z,"[L. Villasante], Goi,argi. Ars,ko erretore santuaren erakusaldiak"
https://wikibase.inguma.eus/entity/Q44438,https://wikibase.inguma.eus/entity/statement/Q44438-3B023278-053C-4B55-ABF9-A1CEDD3BD776,360,1962,"L. Villasante, Kristau fedearen sustraiak. I. Jainkoa, Egan 1962 [1-3], 94-95 [= MEIG III, 87-89]. → XIII 551-552",https://wikibase.inguma.eus/entity/Q44866,1988-01-01T00:00:00Z,"L. Villasante, Kristau fedearen sustraiak. I. Jainkoa"
https://wikibase.inguma.eus/entity/Q44437,https://wikibase.inguma.eus/entity/statement/Q44437-CE01EB25-8FA7-4D96-8347-8EADC1833D59,361,1962,"A. M. Zabala, «Gabon gau bat» eta beste ipui asko, Egan 1962 [4-6], 308 [= MEIG III, 97].; A. M. Zabala, «Gabon gau bat» eta beste ipui asko, Egan 1962 [4-6], 308 [= MEIG III, 97]. → XIII 554",https://wikibase.inguma.eus/entity/Q44923,1988-01-01T00:00:00Z,"A. M. Zabala, «Gabon gau bat» eta beste ipui asko"
https://wikibase.inguma.eus/entity/Q44436,https://wikibase.inguma.eus/entity/statement/Q44436-BBFD6D90-782A-4764-9D62-C6BB88B5B6E1,362,1962,"J. Zaitegi, Platoneneko atarian, Egan 1962 [1-3], 85-86 [= MEIG III, 75-77; EN, 265-267; GA, 227-229]. → XIII 559-561",https://wikibase.inguma.eus/entity/Q45024,1988-01-01T00:00:00Z,"J. Zaitegi, Platoneneko atarian"
https://wikibase.inguma.eus/entity/Q44435,https://wikibase.inguma.eus/entity/statement/Q44435-024727BC-B0BF-4195-A2E7-241839B99E6D,363,1962,"A. Zavala, Txirrita. Bizitza ta bat-bateko bertsoak, Egan 1962 [4-6], 309-310 [= MEIG III, 98-99].; A. Zavala, Txirrita. Bizitza ta bat-bateko bertsoak, Egan 1962 [4-6], 309-310 [= MEIG III, 98-99]. → XIII 556-557",https://wikibase.inguma.eus/entity/Q44930,1988-01-01T00:00:00Z,"A. Zavala, Txirrita. Bizitza ta bat,bateko bertsoak"
https://wikibase.inguma.eus/entity/Q44426,https://wikibase.inguma.eus/entity/statement/Q44426-A1DBFF70-EF10-4ECF-B956-402A6CBFD58D,371,1963,"«Txerribuztango errekako errotaria [Lahovary, euskara eta hizkuntza dravidikoak] [Adabakiak]», Egan 1963 [1-3], 124-126 [= MEIG I, 237-239]. → IV 223-225",https://wikibase.inguma.eus/entity/Q44873,1988-01-01T00:00:00Z,"Txerribuztango errekako errotaria [Lahovary, euskara eta hizkuntza dravidikoak] [Adabakiak]"
https://wikibase.inguma.eus/entity/Q44425,https://wikibase.inguma.eus/entity/statement/Q44425-7BC41DAC-343A-4031-80E4-FE7272EB8049,372,1963,"«Aizkolariak» ta beste ipui asko, Egan 1963 [1-3], 146 [= MEIG III, 109-110]. → XIII 299-300",https://wikibase.inguma.eus/entity/Q44957,1988-01-01T00:00:00Z,"Aizkolariak, ta beste ipui asko"
https://wikibase.inguma.eus/entity/Q44424,https://wikibase.inguma.eus/entity/statement/Q44424-CC989E15-528D-42AE-9465-424467E455B3,373,1963,"T. Alzaga, Burruntziya, Egan 1963 [4-6], 237-238 [= MEIG III, 123-124]. → XIII 304",https://wikibase.inguma.eus/entity/Q44867,1988-01-01T00:00:00Z,"T. Alzaga, Burruntziya"
