entity	label	aipu	oocc_item	oocc_pages	ref_pages	pdf
https://wikibase.inguma.eus/entity/Q47313	Piel J. M.	https://wikibase.inguma.eus/entity/statement/Q47313-92C833AA-14B8-4C8F-9222-7EA3F544B93C	https://wikibase.inguma.eus/entity/Q44063	403-424	IX: 409	XTQ7VGKC
https://wikibase.inguma.eus/entity/Q47313	Piel J. M.	https://wikibase.inguma.eus/entity/statement/Q47313-AE3CCAD3-EC4C-437C-88BC-F63ADC41AAFF	https://wikibase.inguma.eus/entity/Q44217	1-16	III: 15 n. 37	VZBJJ8U8
https://wikibase.inguma.eus/entity/Q47313	Piel J. M.	https://wikibase.inguma.eus/entity/statement/Q47313-A69BA718-0E98-4C4C-ABD2-06309612FDED	https://wikibase.inguma.eus/entity/Q44359	623-639	VIII: 625 n. 8	DS8PFKDY
https://wikibase.inguma.eus/entity/Q47313	Piel J. M.	https://wikibase.inguma.eus/entity/statement/Q47313-31BE4241-8310-4538-BB82-C8597B7B3C4B	https://wikibase.inguma.eus/entity/Q44401	1-115	V: 74 n. 14, V: 85 n. 56	PBNV3TBD
https://wikibase.inguma.eus/entity/Q47313	Piel J. M.	https://wikibase.inguma.eus/entity/statement/Q47313-469EE263-B8D0-49C8-B470-98E3612ACFA9	https://wikibase.inguma.eus/entity/Q44498	585-590	VIII: 586	RUMMT3KG
https://wikibase.inguma.eus/entity/Q47313	Piel J. M.	https://wikibase.inguma.eus/entity/statement/Q47313-60A07C5B-9970-48CF-83B4-E795550A71E7	https://wikibase.inguma.eus/entity/Q44714	237-274	IX: 267	BU3VILJG
https://wikibase.inguma.eus/entity/Q47314	Pilch H.	https://wikibase.inguma.eus/entity/statement/Q47314-B1C56798-2800-43B5-8867-B22140240E66	https://wikibase.inguma.eus/entity/Q44676	91-96	XIV: 91	63BGF8Q7
https://wikibase.inguma.eus/entity/Q47315	Pildain A.	https://wikibase.inguma.eus/entity/statement/Q47315-D4394893-1A35-49AE-9E24-FFD3C8A3B5B7	https://wikibase.inguma.eus/entity/Q44113	137-160	X: 155	LAEJXR8B
https://wikibase.inguma.eus/entity/Q47315	Pildain A.	https://wikibase.inguma.eus/entity/statement/Q47315-E6506E09-2ECA-4D05-A7D2-4977E2EECCAC	https://wikibase.inguma.eus/entity/Q44168	247-254	X: 253	PH566NN5
https://wikibase.inguma.eus/entity/Q47316	Pinborg J.	https://wikibase.inguma.eus/entity/statement/Q47316-E3860EDE-2F94-4920-B122-F9662A8AC852	https://wikibase.inguma.eus/entity/Q44275	19-28	II: 26	ZVM2IWN9
https://wikibase.inguma.eus/entity/Q47317	Pinta Llorente M. de la	https://wikibase.inguma.eus/entity/statement/Q47317-77EDDF9F-4ADE-46C5-A277-A0E7CF2D7AC3	https://wikibase.inguma.eus/entity/Q44228	47-62	II: 53	BLUPHMWI
https://wikibase.inguma.eus/entity/Q47318	Piotrovskij R. G.	https://wikibase.inguma.eus/entity/statement/Q47318-7540253B-AA1C-44CD-98A6-9531529E9863	https://wikibase.inguma.eus/entity/Q44302	117-158	I: 130 n. 43	ALMA6CYY
https://wikibase.inguma.eus/entity/Q47318	Piotrovskij R. G.	https://wikibase.inguma.eus/entity/statement/Q47318-73266DE0-41BD-4236-9CC4-1887122E8E49	https://wikibase.inguma.eus/entity/Q44307	63-69	II: 69	IYE46KW6
https://wikibase.inguma.eus/entity/Q47319	Pirala A.	https://wikibase.inguma.eus/entity/statement/Q47319-66B68D88-5AEB-488C-8500-455F6A13B4D2	https://wikibase.inguma.eus/entity/Q44508	314-315	XIII: 314	P5PJFAN6
https://wikibase.inguma.eus/entity/Q47320	Pirineos	https://wikibase.inguma.eus/entity/statement/Q47320-9CC8B2BC-442F-4335-A126-04AE0C3AA824	https://wikibase.inguma.eus/entity/Q44364	437-446	X: 443	UR6VQ24F
https://wikibase.inguma.eus/entity/Q47321	Pirro	https://wikibase.inguma.eus/entity/statement/Q47321-8F3BA452-729D-4679-93C3-BEB5C86F2BE3	https://wikibase.inguma.eus/entity/Q44267	1-11	II: 6	DWJ3P3DU
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-DDAE6EB2-43CE-4A71-9F75-9A41E0C5A34A	https://wikibase.inguma.eus/entity/Q44068	263-307	I: 274 n. 22	D7KVSR8U
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-AB4B930B-D3B0-4515-9178-ACBCC5DB03F3	https://wikibase.inguma.eus/entity/Q44131	127-144	IV: 127	6ZLHRES6
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-14C18A84-8BB4-4A4A-A74E-75F45D92279E	https://wikibase.inguma.eus/entity/Q44146	517-543	VII: 522, VII: 535	D2F8K5SV
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-4C6368AE-9524-4AE0-B27D-6EEEF9777330	https://wikibase.inguma.eus/entity/Q44218	197-213	I: 202 n. 11, I: 203	SSGIK4ES
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-D1FC3A57-6316-4971-9B39-6C9BDF4DC903	https://wikibase.inguma.eus/entity/Q44302	117-158	I: 127 n. 32	ALMA6CYY
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-893E8AFF-D0C0-41BF-A4B9-9A3FE42078CD	https://wikibase.inguma.eus/entity/Q44314	309-322	I: 312 n. 10	I37QYKZU
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-901E5072-0190-4F77-835D-2BF8BEF91163	https://wikibase.inguma.eus/entity/Q44401	1-115	V: 93	PBNV3TBD
https://wikibase.inguma.eus/entity/Q47322	Pisani V.	https://wikibase.inguma.eus/entity/statement/Q47322-B50039F6-E1AE-4FA2-93B2-F8048A490709	https://wikibase.inguma.eus/entity/Q44434	1-98	I: 40, I: 67, I: 85-86, I: 88, I: 98	N6WHDRJU
https://wikibase.inguma.eus/entity/Q47323	Piscator E.	https://wikibase.inguma.eus/entity/statement/Q47323-FF14AA2D-64BF-48AB-8FA2-28B241DEDD55	https://wikibase.inguma.eus/entity/Q44145	225-240	XIV: 231	H7NQ339X
https://wikibase.inguma.eus/entity/Q47324	Pitágoras	https://wikibase.inguma.eus/entity/statement/Q47324-09B40063-7617-4397-B2C2-F669A7E4982E	https://wikibase.inguma.eus/entity/Q44436	559-561	XIII: 560	GGW677CT
https://wikibase.inguma.eus/entity/Q47325	Pittard E.	https://wikibase.inguma.eus/entity/statement/Q47325-43362822-C32C-4D18-94E5-50672EE0C63C	https://wikibase.inguma.eus/entity/Q44191	243-244	I: 243	JC4JIN3Q
https://wikibase.inguma.eus/entity/Q47326	Pittman R. S.	https://wikibase.inguma.eus/entity/statement/Q47326-98241CA2-2C63-4881-8FD4-406A7BD1C177	https://wikibase.inguma.eus/entity/Q44524	103-128	III: 113 n. 21	IV363FBC
https://wikibase.inguma.eus/entity/Q47327	Pizarro F.	https://wikibase.inguma.eus/entity/statement/Q47327-8B2C336F-ADD7-4B6A-84DC-BF52019885F2	https://wikibase.inguma.eus/entity/Q44139	67-77	XI: 69	3UDVK74I
https://wikibase.inguma.eus/entity/Q47328	Pla J.	https://wikibase.inguma.eus/entity/statement/Q47328-790BF59A-F9BC-4992-8711-F1D046C84EDB	https://wikibase.inguma.eus/entity/Q44710	351-356	XIII: 355	E7HLH6LN
