egilea,egilea_label,wd,ing_wd,wikidata,inguma,ing_wikidata
https://wikibase.inguma.eus/entity/Q3587,Nagore Martinez Merino,Q88866323,Q88866323,http://www.wikidata.org/entity/Q88866323,nagore-martinez-merino,http://www.wikidata.org/entity/Q88866323
https://wikibase.inguma.eus/entity/Q3591,Crisanta Elechiguerra Arrizabalaga,Q104668795,Q104668795,http://www.wikidata.org/entity/Q104668795,crisanta-elechiguerra-arrizabalaga,http://www.wikidata.org/entity/Q104668795
https://wikibase.inguma.eus/entity/Q3589,Jon Mentxakatorre Odriozola,Q104668791,Q104668791,http://www.wikidata.org/entity/Q104668791,jon-mentxakatorre-odriozola,http://www.wikidata.org/entity/Q104668791
https://wikibase.inguma.eus/entity/Q3585,Daniel Martos Garcia,Q104668788,Q104668788,http://www.wikidata.org/entity/Q104668788,daniel-martos-garcia,http://www.wikidata.org/entity/Q104668788
https://wikibase.inguma.eus/entity/Q3775,Izaskun Alvarez Meaza,Q104668798,Q104668798,http://www.wikidata.org/entity/Q104668798,izaskun-alvarez-meaza,http://www.wikidata.org/entity/Q104668798
https://wikibase.inguma.eus/entity/Q4217,Antxoka Agirre Maiora,Q99527609,Q99527609,http://www.wikidata.org/entity/Q99527609,antxoka-agirre-maiora,http://www.wikidata.org/entity/Q99527609
https://wikibase.inguma.eus/entity/Q2463,Ainara Arribas,Q104057133,Q104057133,http://www.wikidata.org/entity/Q104057133,ainara-arribas,http://www.wikidata.org/entity/Q104057133
https://wikibase.inguma.eus/entity/Q3977,Onintza Odriozola Irizar,Q104668706,Q104668706,http://www.wikidata.org/entity/Q104668706,onintza-odriozola-irizar,http://www.wikidata.org/entity/Q104668706
https://wikibase.inguma.eus/entity/Q3586,Nerian Martin Gonzalez,Q104668787,Q104668787,http://www.wikidata.org/entity/Q104668787,nerian-martin-gonzalez,http://www.wikidata.org/entity/Q104668787
https://wikibase.inguma.eus/entity/Q3976,Gorka De la Cuesta Bermejo,Q104668705,Q109783045,http://www.wikidata.org/entity/Q104668705,gorka-de-la-cuesta-bermejo,http://www.wikidata.org/entity/Q109783045
https://wikibase.inguma.eus/entity/Q3420,Kepa Ibargurengoitia Urretxua,Q104668536,Q104668536,http://www.wikidata.org/entity/Q104668536,kepa-ibargurengoitia-urretxua,http://www.wikidata.org/entity/Q104668536
https://wikibase.inguma.eus/entity/Q3241,Eugenio Zubeltzu Jaka,Q104668533,Q104668533,http://www.wikidata.org/entity/Q104668533,eugenio-zubeltzu-jaka,http://www.wikidata.org/entity/Q104668533
https://wikibase.inguma.eus/entity/Q2934,Rakel Gamito Gomez,Q64008015,Q64008015,http://www.wikidata.org/entity/Q64008015,rakel-gamito-gomez,http://www.wikidata.org/entity/Q64008015
https://wikibase.inguma.eus/entity/Q3590,Javier Corral Lage,Q99449841,Q99449841,http://www.wikidata.org/entity/Q99449841,javier-corral-lage,http://www.wikidata.org/entity/Q99449841
https://wikibase.inguma.eus/entity/Q2579,Gaizka Garechana Anacabe,Q104668540,Q104668540,http://www.wikidata.org/entity/Q104668540,gaizka-garechana-anacabe,http://www.wikidata.org/entity/Q104668540
https://wikibase.inguma.eus/entity/Q3240,Igor Agirre Uriarte,Q104668809,Q104668809,http://www.wikidata.org/entity/Q104668809,igor-agirre-uriarte,http://www.wikidata.org/entity/Q104668809
https://wikibase.inguma.eus/entity/Q3468,Jone Azkoaga,Q104668707,Q104668707,http://www.wikidata.org/entity/Q104668707,jone-azkoaga,http://www.wikidata.org/entity/Q104668707
https://wikibase.inguma.eus/entity/Q2461,Eneritz Balerdi Erauncetamurguil,Q100323924,,http://www.wikidata.org/entity/Q100323924,eneritz-balerdi-erauncetamurguil,
https://wikibase.inguma.eus/entity/Q4269,Noemi Peña Miguel,Q99449465,Q99449465,http://www.wikidata.org/entity/Q99449465,noemi-pena-miguel,http://www.wikidata.org/entity/Q99449465
https://wikibase.inguma.eus/entity/Q2806,Maitane Belasko Txertudi,Q64008018,Q64008018,http://www.wikidata.org/entity/Q64008018,maitane-belasko-txertudi,http://www.wikidata.org/entity/Q64008018
https://wikibase.inguma.eus/entity/Q3863,Txomin Iturralde Jainaga,Q96072437,Q96072437,http://www.wikidata.org/entity/Q96072437,txomin-iturralde-jainaga,http://www.wikidata.org/entity/Q96072437
https://wikibase.inguma.eus/entity/Q2717,Monike Gezuraga Amundarain,Q64008019,Q64008019,http://www.wikidata.org/entity/Q64008019,monike-gezuraga-amundarain,http://www.wikidata.org/entity/Q64008019
https://wikibase.inguma.eus/entity/Q2460,Maddi Berasategi Salsamendi,Q100323918,Q100323918,http://www.wikidata.org/entity/Q100323918,maddi-berasategi-salsamendi,http://www.wikidata.org/entity/Q100323918
https://wikibase.inguma.eus/entity/Q3419,Mª Mar Lledó Sainz de Rozas,Q104668534,Q104668534,http://www.wikidata.org/entity/Q104668534,m-mar-lledo-sainz-de-rozas,http://www.wikidata.org/entity/Q104668534
https://wikibase.inguma.eus/entity/Q3776,Enara Zarrabeitia Bilbao,Q104668799,Q104668799,http://www.wikidata.org/entity/Q104668799,enara-zarrabeitia-bilbao,http://www.wikidata.org/entity/Q104668799
https://wikibase.inguma.eus/entity/Q2462,Hector Alonso Martinez,Q99451204,Q99451204,http://www.wikidata.org/entity/Q99451204,hector-alonso-martinez,http://www.wikidata.org/entity/Q99451204
https://wikibase.inguma.eus/entity/Q3208,Idurre Lekuona Antzizar,Q77317036,Q77317036,http://www.wikidata.org/entity/Q77317036,idurre-lekuona-antzizar,http://www.wikidata.org/entity/Q77317036
https://wikibase.inguma.eus/entity/Q3238,Maialen Suarez Errekalde,Q104668807,Q104668807,http://www.wikidata.org/entity/Q104668807,maialen-suarez-errekalde,http://www.wikidata.org/entity/Q104668807
https://wikibase.inguma.eus/entity/Q3899,Estibaliz Romaratezabala Aldasoro,Q87650467,,http://www.wikidata.org/entity/Q87650467,estibaliz-romaratezabala-aldasoro,
https://wikibase.inguma.eus/entity/Q3684,Nahia Idoiaga Mondragon,Q64008014,Q64008014,http://www.wikidata.org/entity/Q64008014,nahia-idoiaga-mondragon,http://www.wikidata.org/entity/Q64008014
https://wikibase.inguma.eus/entity/Q3588,Marijo Deogracias Horrillo,Q98479409,,http://www.wikidata.org/entity/Q98479409,marijo-deogracias-horrillo,
https://wikibase.inguma.eus/entity/Q3343,Josu Santamarina Otaola,Q108042247,,http://www.wikidata.org/entity/Q108042247,josu-santamarina-otaola,
https://wikibase.inguma.eus/entity/Q4295,Israel Alonso Sáez,Q104668537,Q104668537,http://www.wikidata.org/entity/Q104668537,israel-alonso-saez,http://www.wikidata.org/entity/Q104668537
https://wikibase.inguma.eus/entity/Q3976,Gorka De la Cuesta Bermejo,Q104668705,Q104668705,http://www.wikidata.org/entity/Q104668705,gorka-de-la-cuesta-bermejo,http://www.wikidata.org/entity/Q104668705
https://wikibase.inguma.eus/entity/Q2578,Xabier Gonzalez Lasquibar,Q104668538,Q104668538,http://www.wikidata.org/entity/Q104668538,xabier-gonzalez-lasquibar,http://www.wikidata.org/entity/Q104668538
https://wikibase.inguma.eus/entity/Q4268,Ainhoa Gómez Pintado,Q104668780,Q104668780,http://www.wikidata.org/entity/Q104668780,ainhoa-gomez-pintado,http://www.wikidata.org/entity/Q104668780
https://wikibase.inguma.eus/entity/Q4267,Maialen Marin Lacarta,Q58147533,Q58147533,http://www.wikidata.org/entity/Q58147533,maialen-marin-lacarta,http://www.wikidata.org/entity/Q58147533
https://wikibase.inguma.eus/entity/Q4277,Josu Martinez Martinez,Q16517857,Q16517857,http://www.wikidata.org/entity/Q16517857,josu-martinez-martinez,http://www.wikidata.org/entity/Q16517857
https://wikibase.inguma.eus/entity/Q3699,Gorka Etxebarria Dueñas,Q51890035,Q51890035,http://www.wikidata.org/entity/Q51890035,gorka-etxebarria-duenas,http://www.wikidata.org/entity/Q51890035
https://wikibase.inguma.eus/entity/Q3833,Iratxe Redondo Rodriguez,Q104142719,,http://www.wikidata.org/entity/Q104142719,iratxe-redondo-rodriguez,
https://wikibase.inguma.eus/entity/Q3999,Aratz Ramirez de la Piscina Arrillaga,Q104668708,Q104668708,http://www.wikidata.org/entity/Q104668708,aratz-ramirez-de-la-piscina-arrillaga,http://www.wikidata.org/entity/Q104668708
https://wikibase.inguma.eus/entity/Q2577,Patxi Elissalde,Q104668539,Q104668539,http://www.wikidata.org/entity/Q104668539,patxi-elissalde,http://www.wikidata.org/entity/Q104668539
https://wikibase.inguma.eus/entity/Q2670,Monica Gago García,Q104668606,Q104668606,http://www.wikidata.org/entity/Q104668606,monica-gago-garcia,http://www.wikidata.org/entity/Q104668606
https://wikibase.inguma.eus/entity/Q3778,Haritz Iribas Pardo,Q87903894,Q87903894,http://www.wikidata.org/entity/Q87903894,haritz-iribas-pardo,http://www.wikidata.org/entity/Q87903894
https://wikibase.inguma.eus/entity/Q2792,Judit Martinez Abajo,Q75958869,Q75958869,http://www.wikidata.org/entity/Q75958869,judit-martinez-abajo,http://www.wikidata.org/entity/Q75958869
https://wikibase.inguma.eus/entity/Q3864,Valeriano Sanchez Famoso,Q104668805,Q104668805,http://www.wikidata.org/entity/Q104668805,valeriano-sanchez-famoso,http://www.wikidata.org/entity/Q104668805
https://wikibase.inguma.eus/entity/Q2974,Saioa Olmo Alonso,Q104668604,Q104668604,http://www.wikidata.org/entity/Q104668604,saioa-olmo-alonso,http://www.wikidata.org/entity/Q104668604
https://wikibase.inguma.eus/entity/Q3325,Xabier Iantzi Irigoien,Q90229593,Q90229593,http://www.wikidata.org/entity/Q90229593,xabier-iantzi-irigoien,http://www.wikidata.org/entity/Q90229593
https://wikibase.inguma.eus/entity/Q2319,Haizea Galarraga Arrizabalaga,Q104668614,Q104668614,http://www.wikidata.org/entity/Q104668614,haizea-galarraga-arrizabalaga,http://www.wikidata.org/entity/Q104668614
https://wikibase.inguma.eus/entity/Q3349,Naiara Rojo Azaceta,Q42906923,Q42906923,http://www.wikidata.org/entity/Q42906923,naiara-rojo-azaceta,http://www.wikidata.org/entity/Q42906923
https://wikibase.inguma.eus/entity/Q4085,Anne-Marie Lagarde,Q104668565,Q104668565,http://www.wikidata.org/entity/Q104668565,anne-marie-lagarde,http://www.wikidata.org/entity/Q104668565
https://wikibase.inguma.eus/entity/Q3584,Enea Ispizua Dorna,Q104668785,Q104668785,http://www.wikidata.org/entity/Q104668785,enea-ispizua-dorna,http://www.wikidata.org/entity/Q104668785
https://wikibase.inguma.eus/entity/Q4068,Libe Mimenza Castillo,Q56475573,Q56475573,http://www.wikidata.org/entity/Q56475573,libe-mimenza-castillo,http://www.wikidata.org/entity/Q56475573
https://wikibase.inguma.eus/entity/Q3729,Dorota Krajewska,Q130647097,Q130647097,http://www.wikidata.org/entity/Q130647097,dorota-krajewska,http://www.wikidata.org/entity/Q130647097
https://wikibase.inguma.eus/entity/Q5037,Sheila Melcón,Q104668661,Q104668661,http://www.wikidata.org/entity/Q104668661,sheila-melcon,http://www.wikidata.org/entity/Q104668661
https://wikibase.inguma.eus/entity/Q5016,Estefania Jimenez Iglesias,Q104668658,Q104668658,http://www.wikidata.org/entity/Q104668658,estefania-jimenez-iglesias,http://www.wikidata.org/entity/Q104668658
https://wikibase.inguma.eus/entity/Q5139,Virginia Rincon Diez,Q104668601,Q104668601,http://www.wikidata.org/entity/Q104668601,virginia-rincon-diez,http://www.wikidata.org/entity/Q104668601
https://wikibase.inguma.eus/entity/Q4748,Mikel Mazkiaran Lopez de Goikoetxea,Q104668668,Q104668668,http://www.wikidata.org/entity/Q104668668,mikel-mazkiaran-lopez-de-goikoetxea,http://www.wikidata.org/entity/Q104668668
https://wikibase.inguma.eus/entity/Q5033,Malen Migueles Seco,Q57910124,,http://www.wikidata.org/entity/Q57910124,malen-migueles-seco,
https://wikibase.inguma.eus/entity/Q4808,Irantzu Fernandez Rodriguez,Q88208587,Q88208587,http://www.wikidata.org/entity/Q88208587,irantzu-fernandez-rodriguez,http://www.wikidata.org/entity/Q88208587
