artikulua	wd	wd_upload	statement	reference
https://wikibase.inguma.eus/entity/Q17860	Q77311930	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311930-31FEF3A0-4A3F-40C9-8166-CEFC09BE01EB	cab305ac2f9a5bd6eb87dd1a1d66f1be50a8f2d6
https://wikibase.inguma.eus/entity/Q27072	Q77312601	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312601-324898B7-01FC-468A-8FD4-A4CFCD3789BD	197bbb629230b2f532ecf6765a1e80e495da08ad
https://wikibase.inguma.eus/entity/Q27073	Q77312598	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312598-15AC9A8C-7202-4893-9FD2-020876D03B28	f93e027b902cffeb75dea9b290a3d297ba66b344
https://wikibase.inguma.eus/entity/Q34522	Q76507828	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507828-B8A80F08-629D-4E89-84A8-34A33AE97AFE	2281bca44165f411c47e3bd068f30806ea568b48
https://wikibase.inguma.eus/entity/Q23726	Q77312250	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312250-3D28D299-EBC4-4C56-BA1C-316D5C661E4C	f53e8e9c6afffd230694e9de76d276af70f1630b
https://wikibase.inguma.eus/entity/Q34742	Q76507924	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507924-1FF73255-7A45-4704-8B13-EA17A19B4CE6	76becd8b7d7b1ebc875768da3be8d6986b9e717b
https://wikibase.inguma.eus/entity/Q27075	Q77312591	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312591-3B3311CC-CA61-4A02-8E24-7522475ABA7A	ece88e1874bb16ebc57abfbcb53ca1db5caa8632
https://wikibase.inguma.eus/entity/Q22411	Q76506837	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76506837-83A354BC-38BE-41C0-9026-C4227EDBB87F	9dbf655873f2ab73beeafe4bad3aed7bd916512b
https://wikibase.inguma.eus/entity/Q34527	Q76507820	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507820-1155F407-813C-46FE-BA94-0DB41F684C7B	a2944fec381918191b4908d62de230db2a07aa6e
https://wikibase.inguma.eus/entity/Q14016	Q130761229	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761229-C516EE8B-43D4-4813-9472-62410B0E8453	8a4d6c9fd72bb01f2d4e23db76cf9a9cc51b7497
