artikulua	wd	p1guid	inguma	title	data	wd_egileak	issue	sp	ep	doi	ojs_landing	pdf	wd_upload
https://wikibase.inguma.eus/entity/Q17304	Q76506569	https://wikibase.inguma.eus/entity/statement/Q17304-282CDAC5-5AF1-400B-8881-D2E6D16F0597	euskal-nazio-garaikidearen-azterketa-futbol-ekitaldiaren-bitartez	Euskal nazio garaikidearen azterketa futbol-ekitaldiaren bitartez	2016-01-01T00:00:00Z	"""1"": ""Q99172606"""	96	67	86	10.26876/uztaro.96.2016.4	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4609	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4609/4718	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q22324	Q77312109	https://wikibase.inguma.eus/entity/statement/Q22324-04055D24-71D8-42F7-AB0B-B3B03427F8BA	idazleen-hierarkizazioa-euskal-sisteman-idazleen-ikuspegia-eta-irakaskuntzaren-mikrosistema	Idazleen hierarkizazioa euskal sisteman: idazleen ikuspegia eta irakaskuntzaren mikrosistema	2012-01-01T00:00:00Z	"""1"": ""Q98831568"""	81	41	59	10.26876/uztaro.81.2012.3	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4480	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4480/4589	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q16190			aisialdia-jarduera-soziokulturala-eta-inklusio-soziala-abusuko-kasua	Aisialdia, jarduera soziokulturala eta inklusio soziala: Abusuko kasua	2017-01-01T00:00:00Z	"""1"": ""Q99451204"", ""2"": ""Q104668537"", ""4"": ""Q70573954"", ""3"": ""Q104057133"""	103	27	39	10.26876/uztaro.103.2017.2	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4685	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4685/4794	
https://wikibase.inguma.eus/entity/Q34526	Q76507822	https://wikibase.inguma.eus/entity/statement/Q34526-B8EE738B-FE22-42A3-9917-B2A3A2D37ABA	euskal-alfabetatzea-euskararen-erabilerak-1970-1990	Euskal alfabetatzea: euskararen erabilerak (1970-1990)	1993-01-01T00:00:00Z	"""1"": ""Q104668552"""	9	27	58		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/3766	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/3766/3875	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q26496	Q76507461	https://wikibase.inguma.eus/entity/statement/Q26496-E5630463-2B08-46D2-BE6C-C1DA21D723EE	kable-bidezko-telebista-hego-euskal-herrian	Kable bidezko telebista Hego Euskal Herrian	1999-01-01T00:00:00Z	"""2"": ""Q87110934"", ""3"": ""Q89019000"", ""4"": ""Q104017211"", ""1"": ""Q12260077"""	28	79	88		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4017	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4017/4126	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36946	Q130763068	https://wikibase.inguma.eus/entity/statement/Q36946-4D4956BC-7927-471B-A39B-30FF6E8E31D5	enplegagarritasunerako-zehar-konpetentziak-ocean-i-proiektuan	Enplegagarritasunerako zehar-konpetentziak Ocean i proiektuan	2023-01-01T00:00:00Z	"""2"": ""Q130759867"", ""3"": ""Q130759775"", ""1"": ""Q130759810"""	125	5	35		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5043	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/5043/5152	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q14062			denak-ez-du-balio-nazioarteko-inbertsio-gatazkak-ebazteko-orduan-edo-giza-eskubideen-babesa-inbertsio-arbitrajean	Denak ez du balio nazioarteko inbertsio-gatazkak ebazteko orduan edo giza eskubideen babesa inbertsio-arbitrajean	2021-01-01T00:00:00Z	"""1"": ""Q130759838"", ""2"": ""Q109490497"""	116	143	169	10.26876/uztaro.116.2021.7	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4931	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4931/5040	
https://wikibase.inguma.eus/entity/Q23724	Q77312255	https://wikibase.inguma.eus/entity/statement/Q23724-3CD08238-3D2A-47B2-A061-DBF2FEA09F55	fisikan-eta-teknologian-erabili-beharreko-adierazpen-matematikoetarako-nazioarteko-arauak-euskarara-egokitzeko-gomendioak	Fisikan eta teknologian erabili beharreko adierazpen matematikoetarako nazioarteko arauak euskarara egokitzeko gomendioak	2009-01-01T00:00:00Z	"""1"": ""Q12260733"""	70	49	62		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4394	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4394/4503	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q23667	Q77312270	https://wikibase.inguma.eus/entity/statement/Q23667-920954EF-7885-4E53-9930-9CFE721DC73A	jabetza-erregistroa-eta-eliza-katolikoa	Jabetza erregistroa eta Eliza Katolikoa	2009-01-01T00:00:00Z	"""1"": ""Q98831590"""	71	45	68		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4400	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4400/4509	2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q25328	Q130763213	https://wikibase.inguma.eus/entity/statement/Q25328-3A8F1698-12BD-4538-929F-8202FE9FFDD6	hizkuntzaren-erabilera-genero-estereotipoak-iraunarazteko-tresna-gisa-hizkuntzaren-abstrakzioaren-ondorioak	Hizkuntzaren erabilera genero-estereotipoak iraunarazteko tresna gisa: hizkuntzaren abstrakzioaren ondorioak	2006-01-01T00:00:00Z	"""3"": ""Q77049133"", ""2"": ""Q87113700"", ""1"": ""Q76877047"""	59	63	88		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4217	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4217/4326	
