izena	bdb_id
Hernani Txikia	https://bdb.bertsozale.eus/web/haitzondo/view/1988-hernani-txikia
Aritz Zubiate	https://bdb.bertsozale.eus/web/haitzondo/view/1990-aritz-zubiarte
Fermin Mihura	https://bdb.bertsozale.eus/web/haitzondo/view/1422-fermin-mihura
Roman Mihura	https://bdb.bertsozale.eus/web/haitzondo/view/1423-roman-mihura
Ibon Miner	https://bdb.bertsozale.eus/web/haitzondo/view/1431-ibon-miner
Joakin  Mitxelena "Naparra"	https://bdb.bertsozale.eus/web/haitzondo/view/1432-joakin-mitxelena-naparra
Jose Joakin Mitxelena	https://bdb.bertsozale.eus/web/haitzondo/view/1433-jose-joakin-mitxelena
Joanito Mitxelena	https://bdb.bertsozale.eus/web/haitzondo/view/1437-joanito-mitxelena
Jose Mari  Mitxelena "Aixluxita"	https://bdb.bertsozale.eus/web/haitzondo/view/1439-jose-mari-mitxelena-aixluxita
Manuel Jose  Mitxelena "Eperra"	https://bdb.bertsozale.eus/web/haitzondo/view/1440-manuel-jose-mitxelena-eperra
Asier Sasieta	https://bdb.bertsozale.eus/web/haitzondo/view/3125-asier-sasieta
Gorka Maiz	https://bdb.bertsozale.eus/web/haitzondo/view/3124-gorka-maiz
Jon Mugartegi	https://bdb.bertsozale.eus/web/haitzondo/view/1450-jon-mugartegi
Jose Luis  Mugarza "Elgetzu"	https://bdb.bertsozale.eus/web/haitzondo/view/1454-jose-luis-mugarza-elgetzu
Manex Mujika	https://bdb.bertsozale.eus/web/haitzondo/view/1462-manex-mujika
Bixente Mujika	https://bdb.bertsozale.eus/web/haitzondo/view/1463-bixente-mujika
Dionisio Mujika	https://bdb.bertsozale.eus/web/haitzondo/view/1464-dionisio-mujika
Joxe Mari  Mujika "Anatx"	https://bdb.bertsozale.eus/web/haitzondo/view/1468-joxe-mari-mujika-anatx
Aitzol Barandiaran	https://bdb.bertsozale.eus/web/haitzondo/view/1471-aitzol-barandiaran
Joxe Munduate	https://bdb.bertsozale.eus/web/haitzondo/view/1472-joxe-munduate
Anertz Muniategi	https://bdb.bertsozale.eus/web/haitzondo/view/1473-anertz-muniategi
Igor Muniategi	https://bdb.bertsozale.eus/web/haitzondo/view/1474-igor-muniategi
Xanti Iparragirre	https://bdb.bertsozale.eus/web/haitzondo/view/1032-xanti-iparragirre
Amets Arzallus	https://bdb.bertsozale.eus/web/haitzondo/view/364-amets-arzallus
Zigor Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/699-zigor-enbeita
Matxin  Irabola "Senpereko Matxin"	https://bdb.bertsozale.eus/web/haitzondo/view/1033-matxin-irabola-senpereko-matxin
Patxi Iraola	https://bdb.bertsozale.eus/web/haitzondo/view/1037-patxi-iraola
Rufino Iraola	https://bdb.bertsozale.eus/web/haitzondo/view/1038-rufino-iraola
Paulo Irazabal Erzilla	https://bdb.bertsozale.eus/web/haitzondo/view/1045-paulo-irazabal-erzilla
Jexux Mari Irazu Muñoa	https://bdb.bertsozale.eus/web/haitzondo/view/1046-jexux-mari-irazu-munoa
Patxi Iriart	https://bdb.bertsozale.eus/web/haitzondo/view/1050-patxi-iriart
Mañez  Iriart	https://bdb.bertsozale.eus/web/haitzondo/view/1051-manez-iriart-inxauspe
Felix Iriarte	https://bdb.bertsozale.eus/web/haitzondo/view/1052-felix-iriarte
Joxe  Iriarte "Ttotto"	https://bdb.bertsozale.eus/web/haitzondo/view/1054-joxe-iriarte-ttotto
Juan Felix  Iriarte "Berjinanto"	https://bdb.bertsozale.eus/web/haitzondo/view/1055-juan-felix-iriarte-berjinanto
Jose Mari  Iriarte "Frantsesa"	https://bdb.bertsozale.eus/web/haitzondo/view/1056-jose-mari-iriarte-frantsesa
Gorka Iribar	https://bdb.bertsozale.eus/web/haitzondo/view/1061-gorka-iribar
Jexux  Iribar "Olalde"	https://bdb.bertsozale.eus/web/haitzondo/view/1064-jexux-iribar-olalde
Bizente Iribekanpos	https://bdb.bertsozale.eus/web/haitzondo/view/1066-bizente-iribekanpos
Josep Mixel  Irigaray "Ohitx"	https://bdb.bertsozale.eus/web/haitzondo/view/1068-josep-mixel-irigaray-ohitx
Jan Battit  Irigaray "Oihantzipi"	https://bdb.bertsozale.eus/web/haitzondo/view/1069-jan-battit-irigaray-oihantzipi
Txomin Iriondo	https://bdb.bertsozale.eus/web/haitzondo/view/1075-txomin-iriondo
Iñigo  Mantzizidor "Mantxi"	https://bdb.bertsozale.eus/web/haitzondo/view/1371-inigo-mantzizidor-mantxi
Luis Manzisidor	https://bdb.bertsozale.eus/web/haitzondo/view/1372-luis-manzisidor
Kristina Mardaras	https://bdb.bertsozale.eus/web/haitzondo/view/1375-kristina-mardaras
Beñat Mardok	https://bdb.bertsozale.eus/web/haitzondo/view/1376-benat-mardok
Felix Mariezkurrena	https://bdb.bertsozale.eus/web/haitzondo/view/1378-felix-mariezkurrena
Anjel Martikorena	https://bdb.bertsozale.eus/web/haitzondo/view/1385-anjel-martikorena
Javier  Martinez "Guti"	https://bdb.bertsozale.eus/web/haitzondo/view/1387-javier-martinez-guti
Alberto  Martinez "Beito"	https://bdb.bertsozale.eus/web/haitzondo/view/1389-alberto-martinez-beito
Maider Martinez	https://bdb.bertsozale.eus/web/haitzondo/view/1391-maider-martinez
Julian Martitegi	https://bdb.bertsozale.eus/web/haitzondo/view/1392-julian-martitegi
Mizel Mateo	https://bdb.bertsozale.eus/web/haitzondo/view/1394-mizel-mateo
Jokin Matxinandiarena	https://bdb.bertsozale.eus/web/haitzondo/view/1397-jokin-matxinandiarena
German Meabebasterretxea	https://bdb.bertsozale.eus/web/haitzondo/view/1399-german-meabebasterretxea
Lander Meaza	https://bdb.bertsozale.eus/web/haitzondo/view/1400-lander-meaza
Unai Mendibil	https://bdb.bertsozale.eus/web/haitzondo/view/1403-unai-mendibil
Jean Pierre Mendiburu	https://bdb.bertsozale.eus/web/haitzondo/view/1404-jean-pierre-mendiburu
Aitor Mendiluze	https://bdb.bertsozale.eus/web/haitzondo/view/1409-aitor-mendiluze
Mikel Mendizabal	https://bdb.bertsozale.eus/web/haitzondo/view/1412-mikel-mendizabal
Igor Menika	https://bdb.bertsozale.eus/web/haitzondo/view/1420-igor-menika
Pierra Merkapide Bartaburu	https://bdb.bertsozale.eus/web/haitzondo/view/1421-pierra-merkapide-bartaburu
Jean Louis  Eizmendi "Errexil II"	https://bdb.bertsozale.eus/web/haitzondo/view/631-jean-louis-eizmendi-errexil-ii
Eusebio  Eizmendi "Txapel"	https://bdb.bertsozale.eus/web/haitzondo/view/632-eusebio-eizmendi-txapel
Aitor Elexpuru	https://bdb.bertsozale.eus/web/haitzondo/view/634-aitor-elexpuru
Bittor Elizagoien	https://bdb.bertsozale.eus/web/haitzondo/view/642-bittor-elizagoien
Lukasia Elizegi	https://bdb.bertsozale.eus/web/haitzondo/view/648-lukasia-elizegi
Joxepa Iñaxi Elizegi Bengoetxea	https://bdb.bertsozale.eus/web/haitzondo/view/649-joxepa-inaxi-elizegi-bengoetxea
Miel Anton Elizegi	https://bdb.bertsozale.eus/web/haitzondo/view/650-miel-anton-elizegi
Mikela Elizegi	https://bdb.bertsozale.eus/web/haitzondo/view/651-mikela-elizegi
Jose Maria  Elizegi "Frailia"	https://bdb.bertsozale.eus/web/haitzondo/view/652-jose-maria-elizegi-frailia
