wiki_id,lila_id
L266721,lemma/95128
L266741,lemma/97171
L266756,lemma/95932
L266785,lemma/95260
L266787,lemma/97698
L266795,lemma/95269
L266800,lemma/95282
L266810,lemma/95287
L266836,lemma/97786
L273527,lemma/102164
L273540,lemma/102185
L273546,lemma/102194
L273557,lemma/102203
L273558,lemma/102204
L273562,lemma/102212
L273582,lemma/102243
L273590,hypolemma/15569
L273595,lemma/102264
L273617,lemma/102303
L273621,lemma/102307
L273622,lemma/102309
L273634,lemma/102324
L273638,lemma/102335
L273651,lemma/102354
L273663,lemma/102377
L273674,lemma/102348
L273681,lemma/102404
L273701,lemma/102436
L273713,lemma/102450
L273720,lemma/102415
L273721,lemma/102414
L273734,lemma/102480
L273749,lemma/102721
L273759,lemma/102725
L273765,lemma/102737
L273771,hypolemma/111576
L273778,lemma/102757
L273807,lemma/102815
L273836,lemma/102864
L273839,lemma/102795
L273846,lemma/102885
L273853,lemma/102896
L273860,lemma/51399
L273863,lemma/102911
L273865,lemma/102912
L273872,lemma/102941
L273882,lemma/102969
L273884,lemma/102973
L273889,lemma/102978
L273890,lemma/102979
L273904,lemma/102996
L273932,lemma/103047
L273946,hypolemma/16419
L273949,lemma/103068
L273952,lemma/103070
L273953,lemma/103080
L273959,lemma/103085
L273974,lemma/103807
L273983,lemma/103107
L273985,hypolemma/16476
L273989,lemma/103114
L273999,lemma/103127
L274003,lemma/103131
L274007,lemma/103136
L274028,lemma/103166
L274037,lemma/103184
L274043,lemma/103197
L274049,lemma/103205
L274057,lemma/103226
L274082,lemma/103261
L274083,lemma/103264
L274086,lemma/103267
L274097,lemma/52128
L274109,lemma/103311
L274117,hypolemma/65858
L274118,lemma/103319
L274121,lemma/103320
L274142,lemma/103353
L274149,lemma/7286
L274175,lemma/103431
L274188,lemma/103449
L274201,lemma/104229
L274213,lemma/104173
L274225,lemma/103540
L274239,lemma/103557
L274258,lemma/103612
L274282,lemma/103652
L274283,hypolemma/17128
L274289,hypolemma/17141
L274300,lemma/103675
L274306,lemma/103683
L274309,lemma/103683
L274332,hypolemma/17186
L274333,lemma/103711
L274350,lemma/103738
L274359,lemma/103760
L274390,lemma/103814
L274417,lemma/103850
L274422,hypolemma/17351
L274424,lemma/103857
L274434,lemma/103881
L266837,lemma/95315
L266849,lemma/95325
L266859,lemma/95339
L266888,lemma/95373
L266901,lemma/97598
L266903,lemma/97600
L266904,lemma/95377
L266917,lemma/95387
L266939,lemma/95419
L266954,lemma/94766
L266969,lemma/43648
L267011,lemma/96716
L267015,lemma/96717
L267016,lemma/96701
L267025,lemma/96008
L267028,lemma/95738
L267037,lemma/95985
L267045,lemma/95989
L267056,lemma/95993
L267060,lemma/95996
L267067,lemma/96001
L267071,lemma/96003
L267100,hypolemma/8944
L267109,lemma/95976
L267123,lemma/96018
L267135,lemma/96044
L267141,lemma/96048
L267142,lemma/136292
L267144,lemma/96051
L267145,lemma/97532
L267150,lemma/96053
L267155,lemma/97533
L267157,lemma/97534
L267168,lemma/96058
L267169,lemma/96060
L267171,lemma/96061
L267175,lemma/96063
L267190,lemma/96072
L267196,lemma/96078
L267223,hypolemma/9017
L267230,lemma/96108
L267235,lemma/97545
L267281,lemma/97806
L267283,lemma/3796
L267294,lemma/96145
L267298,lemma/136295
L267317,lemma/96158
L267322,lemma/96164
L267326,lemma/96166
L267329,lemma/131293
L267340,hypolemma/9147
L267352,lemma/96187
L267362,lemma/96195
L267375,lemma/97552
L267389,lemma/96209
L267411,hypolemma/113514
L267415,lemma/96226
L267421,lemma/96230
L267428,lemma/96238
L267437,lemma/96243
L267439,lemma/96245
L267440,lemma/96246
L267456,lemma/96255
L267459,lemma/96256
L267473,lemma/96266
L267476,lemma/96269
L267477,lemma/96270
L267493,hypolemma/9267
L267503,lemma/96286
L267505,lemma/96288
L267510,hypolemma/9278
L267511,lemma/43867
L267515,lemma/96292
L267534,lemma/96300
L267539,lemma/96305
L267542,lemma/96307
L267543,lemma/96308
L267550,lemma/97248
