sense,label
https://unidive.wikibase.cloud/entity/L708-S2,capability → the susceptibility of something to a particular treatment [L708-S2]
https://unidive.wikibase.cloud/entity/L708-S3,capability → an aptitude that may be developed [L708-S3]
https://unidive.wikibase.cloud/entity/L709-S1,capable → (usually followed by `of') having capacity or ability [L709-S1]
https://unidive.wikibase.cloud/entity/L709-S2,capable → (followed by `of') having the temperament or inclination for [L709-S2]
https://unidive.wikibase.cloud/entity/L709-S3,capable → possibly accepting or permitting [L709-S3]
https://unidive.wikibase.cloud/entity/L709-S4,capable → having the requisite qualities for [L709-S4]
https://unidive.wikibase.cloud/entity/L709-S5,capable → have the skills and qualifications to do things well [L709-S5]
https://unidive.wikibase.cloud/entity/L710-S1,capacity → capability to perform or produce [L710-S1]
https://unidive.wikibase.cloud/entity/L710-S2,capacity → the susceptibility of something to a particular treatment [L710-S2]
https://unidive.wikibase.cloud/entity/L710-S3,capacity → the amount that can be contained [L710-S3]
https://unidive.wikibase.cloud/entity/L710-S4,capacity → the maximum production possible [L710-S4]
https://unidive.wikibase.cloud/entity/L710-S5,capacity → a specified function [L710-S5]
https://unidive.wikibase.cloud/entity/L710-S6,capacity → (computer science) the amount of information (in bytes) that can be stored on a disk drive [L710-S6]
https://unidive.wikibase.cloud/entity/L710-S7,capacity → an electrical phenomenon whereby an electric charge is stored [L710-S7]
https://unidive.wikibase.cloud/entity/L710-S8,"capacity → the power to learn or retain knowledge; in law, the ability to understand the facts and significance of your behavior [L710-S8]"
https://unidive.wikibase.cloud/entity/L710-S9,capacity → tolerance for alcohol [L710-S9]
https://unidive.wikibase.cloud/entity/L711-S1,capital → assets available for use in the production of further assets [L711-S1]
https://unidive.wikibase.cloud/entity/L711-S2,capital → wealth in the form of money or property owned by a person or business and human resources of economic value [L711-S2]
https://unidive.wikibase.cloud/entity/L711-S3,capital → a seat of government [L711-S3]
https://unidive.wikibase.cloud/entity/L711-S4,capital → one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis [L711-S4]
https://unidive.wikibase.cloud/entity/L711-S5,capital → a center that is associated more than any other with some activity or product [L711-S5]
https://unidive.wikibase.cloud/entity/L711-S6,capital → the upper part of a column that supports the entablature [L711-S6]
https://unidive.wikibase.cloud/entity/L712-S1,captivity → the state of being imprisoned [L712-S1]
https://unidive.wikibase.cloud/entity/L712-S2,captivity → the state of being a slave [L712-S2]
https://unidive.wikibase.cloud/entity/L713-S1,capture → succeed in representing or expressing something intangible [L713-S1]
https://unidive.wikibase.cloud/entity/L713-S2,capture → attract; cause to be enamored [L713-S2]
https://unidive.wikibase.cloud/entity/L713-S3,"capture → succeed in catching or seizing, especially after a chase [L713-S3]"
https://unidive.wikibase.cloud/entity/L713-S4,capture → bring about the capture of an elementary particle or celestial body and causing it enter a new orbit [L713-S4]
https://unidive.wikibase.cloud/entity/L713-S5,"capture → take possession of by force, as after an invasion [L713-S5]"
https://unidive.wikibase.cloud/entity/L713-S6,"capture → capture as if by hunting, snaring, or trapping [L713-S6]"
https://unidive.wikibase.cloud/entity/L713-S7,capture → Collect and store in a permanent file [L713-S7]
https://unidive.wikibase.cloud/entity/L714-S1,car → a motor vehicle with four wheels; usually propelled by an internal combustion engine [L714-S1]
https://unidive.wikibase.cloud/entity/L714-S2,car → a wheeled vehicle adapted to the rails of railroad [L714-S2]
https://unidive.wikibase.cloud/entity/L692-S1,cache → a hidden storage space (for money or provisions or weapons) [L692-S1]
https://unidive.wikibase.cloud/entity/L692-S2,cache → a secret store of valuables or money [L692-S2]
https://unidive.wikibase.cloud/entity/L692-S3,cache → (computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics [L692-S3]
https://unidive.wikibase.cloud/entity/L693-S1,calculate → make a mathematical calculation or computation [L693-S1]
https://unidive.wikibase.cloud/entity/L693-S2,calculate → judge to be probable [L693-S2]
https://unidive.wikibase.cloud/entity/L693-S3,calculate → keep an account of [L693-S3]
https://unidive.wikibase.cloud/entity/L693-S4,calculate → predict in advance [L693-S4]
https://unidive.wikibase.cloud/entity/L693-S5,"calculate → specifically design a product, event, or activity for a certain public [L693-S5]"
https://unidive.wikibase.cloud/entity/L693-S6,calculate → have faith or confidence in [L693-S6]
https://unidive.wikibase.cloud/entity/L694-S1,calendar → a system of timekeeping that defines the beginning and length and divisions of the year [L694-S1]
https://unidive.wikibase.cloud/entity/L694-S2,calendar → a list or register of events (appointments or social events or court cases etc) [L694-S2]
https://unidive.wikibase.cloud/entity/L694-S3,calendar → a tabular array of the days (usually for one year) [L694-S3]
https://unidive.wikibase.cloud/entity/L1900-S1,happen → come to pass [L1900-S1]
https://unidive.wikibase.cloud/entity/L1900-S2,"happen → happen, occur, or be the case in the course of events or by chance [L1900-S2]"
https://unidive.wikibase.cloud/entity/L1900-S3,"happen → chance to be or do something, without intention or causation [L1900-S3]"
https://unidive.wikibase.cloud/entity/L1900-S4,happen → come into being; become reality [L1900-S4]
https://unidive.wikibase.cloud/entity/L1900-S5,"happen → come upon, as if by accident; meet with [L1900-S5]"
https://unidive.wikibase.cloud/entity/L2741-S1,obstruct → hinder or prevent the progress or accomplishment of [L2741-S1]
https://unidive.wikibase.cloud/entity/L2741-S2,obstruct → block passage through [L2741-S2]
https://unidive.wikibase.cloud/entity/L2741-S3,obstruct → shut out from view or get in the way so as to hide from sight [L2741-S3]
https://unidive.wikibase.cloud/entity/L3615-S1,significant → important in effect or meaning [L3615-S1]
https://unidive.wikibase.cloud/entity/L3615-S2,significant → too closely correlated to be attributed to chance and therefore indicating a systematic relation [L3615-S2]
https://unidive.wikibase.cloud/entity/L3615-S3,"significant → of considerable importance, size, or worth [L3615-S3]"
https://unidive.wikibase.cloud/entity/L3615-S4,significant → rich in significance or implication [L3615-S4]
https://unidive.wikibase.cloud/entity/L1217-S1,"detect → discover or determine the existence, presence, or fact of [L1217-S1]"
https://unidive.wikibase.cloud/entity/L1218-S1,detection → the perception that something has occurred or some state exists [L1218-S1]
https://unidive.wikibase.cloud/entity/L1218-S2,detection → the act of detecting something; catching sight of something [L1218-S2]
https://unidive.wikibase.cloud/entity/L1218-S3,detection → the detection that a signal is being received [L1218-S3]
https://unidive.wikibase.cloud/entity/L1218-S4,detection → a police investigation to determine the perpetrator [L1218-S4]
https://unidive.wikibase.cloud/entity/L1219-S1,deteriorate → become worse or disintegrate [L1219-S1]
