line	lid	adib	headword	normalized	aftercomma
531	L367	22	abertzale	abertzale
532	L368	0	abertzalego	abertzalego
533	L369	0	abertzalekeria	abertzalekeria
534	L370	17	abertzaletasun	abertzaletasun
535	L371	4	abertzaletu	abertzaletu
536	L372	13	abes	abes
537	subentry	7	ABES EGIN
538	subentry	1	ABES-MIN
539	subentry	1	ABES-BAKARLARI
540	L372	0	2 abes	abes
541	L373	0	abesau	abesau
542	L374	8	abesbatza	abesbatza
543	L375	0	abesbeluan	abesbeluan
544	L376	1	abesgai	abesgai
545	L377	8	abeska	abeska
546	L378	2	abeskera	abeskera
547	L379	2	abeskide	abeskide
548	L380	1	abeskunde	abeskunde
549	L381	22	abeslari	abeslari
550	subentry	2	ABESLARI-BAZKUN
551	subentry	2	ABESLARI-TALDE
552	L382	1	abesle	abesle
553	L383	3	abestaldi	abestaldi
554	L384	49	abesti	abesti
555	subentry	1	ABESTI-ZALE
556	L385	1	abestiño	abestiño
557	L386	57	abestu	abestu
558	multiword_mainentry	1	abestu erazi	abestu erazi
559	L387	7	abetaldu	abetaldu
560	L388	1	abetalpen	abetalpen
561	L389	2	habetu	habetu
562	L390	5	habetxo	habetxo
563	L391	0	abeurrea	abeurrea
564	L392	5	abeze	abeze
565	L393	4	abezekiro	abezekiro
566	L394	1	abia	abia
567	multiword_mainentry	56	abia-	abia-
568	L395	77	habia	habia
569	L396	2	abiaburu	abiaburu
570	L397	13	abiada	abiada
571	subentry	5	ABIADA HARTU
572	subentry	4	ABIADAN
573	L398	36	abiadura	abiadura
574	L399	1	abiaginean	abiaginean
575	L400	1	abiagune	abiagune
576	L401	0	abiajon	abiajon
577	L402	1	abiakera	abiakera
578	L403	0	abialdi	abialdi
579	L404	7	abiamen	abiamen
580	L405	0	abian	abian
581	L406	1	habiaratu	habiaratu
582	L407	15	abiarazi	abiarazi
583	L408	0	habiata	habiata
584	L409	127	abiatu	abiatu
585	subentry	0	EZIN ABIATUZKO
586	L410	0	habiatu	habiatu
587	L411	3	habiatxo	habiatxo
588	L412	0	abiatzaile	abiatzaile
589	L413	4	abiatze	abiatze
590	L414	0	abiduri	abiduri
591	L415	1	abigorri	abigorri
592	L416	0	abijoi	abijoi
593	L417	43	abil	abil
594	L418	4	abilamendu	abilamendu
595	L419	0	abilarri	abilarri
596	L420	0	abilatu	abilatu
597	L421	5	abildu	abildu
598	multiword_mainentry	0	abiles-	abiles-
599	L422	0	abileta	abileta
600	L423	9	abilezia	abilezia
601	L424	36	abilidade	abilidade
602	L425	1	abilkeria	abilkeria
603	L426	5	abilki	abilki
604	L427	2	abiltasun	abiltasun
605	L428	6	abilua	abilua
606	L429	3	habio	habio
607	L430	1	1 abioi	abioi
608	L430	3	2 abioi	abioi
609	L431	1	abiondoko	abiondoko
610	L432	0	habirakoi	habirakoi
611	L433	3	abirazai	abirazai
612	L434	0	abiroin	abiroin
613	L435	0	abisa	abisa
614	L436	56	abisatu	abisatu
615	L437	0	abisatzaile	abisatzaile
616	L438	0	abismatu	abismatu
617	L439	6	abisme	abisme
618	L440	1	abistu	abistu
