wikibase_item,pdf,zot_st,zot
Q35686,https://www.inguma.eus/fso/fitxategia/488-ikergazte.i.730_738.pdf,Q35686-5E996611-C117-4AB6-969B-1C797E78938A,6CDI896D
Q35547,https://www.inguma.eus/fso/fitxategia/182-ikergazte.iii.01.25_30.pdf,Q35547-97BC9F00-20E7-4D8F-9EFA-16D554392AA0,6D5QU9QM
Q35579,https://www.inguma.eus/fso/fitxategia/332-ikergazte.ii.03.141_148.pdf,Q35579-A0274E8C-F253-4B5A-B5BE-D0E98C32F978,769D9VWA
Q35583,https://www.inguma.eus/fso/fitxategia/328-ikergazte.ii.03.111_118.pdf,Q35583-2920E8F6-8EE3-439C-83C4-3EA9758A480C,R45UFCW7
Q35586,https://www.inguma.eus/fso/fitxategia/325-ikergazte.ii.03.91_96.pdf,Q35586-A59CDF20-8025-4F41-BB14-0C66129A5177,4PGWL7AP
Q35588,https://www.inguma.eus/fso/fitxategia/323-ikergazte.ii.03.75_82.pdf,Q35588-1D8A485E-D2B6-4676-8911-DB6E63E4BEEA,XMDE388L
Q35590,https://www.inguma.eus/fso/fitxategia/321-ikergazte.ii.03.61_66.pdf,Q35590-9C49DF6D-3EAC-4CF7-8599-D7DBB96091A9,ZZ6H8ABH
Q35594,https://www.inguma.eus/fso/fitxategia/317-ikergazte.ii.03.38_41.pdf,Q35594-063D7BE8-FCC1-4CAC-907B-41ED9EC70764,VMCQZK6G
Q35595,https://www.inguma.eus/fso/fitxategia/316-ikergazte.ii.03.30_37.pdf,Q35595-910654CF-690E-4B88-9716-E8726B6C5B10,6UNCMSY7
Q35597,https://www.inguma.eus/fso/fitxategia/314-ikergazte.ii.03.16_21.pdf,Q35597-819E1722-5443-42AB-98AE-E171791320ED,5PUNZEWK
Q35600,https://www.inguma.eus/fso/fitxategia/288-ikergazte.ii.02.214_224.pdf,Q35600-468FA3DE-E6B8-44FA-B625-6015D59CCBC0,ENL8A5RL
Q35601,https://www.inguma.eus/fso/fitxategia/287-ikergazte.ii.02.206_213.pdf,Q35601-089F0391-EDA2-4484-81A0-863153D3D865,8LU7CGAQ
Q35605,https://www.inguma.eus/fso/fitxategia/283-ikergazte.ii.02.173_180.pdf,Q35605-A53B275B-1820-4199-B118-2FBDA55EF430,ISKQR5NT
Q35606,https://www.inguma.eus/fso/fitxategia/282-ikergazte.ii.02.166_172.pdf,Q35606-7A074F84-44EA-41E2-B224-CF674E9F26E5,RBIBRYDM
Q35612,https://www.inguma.eus/fso/fitxategia/276-ikergazte.ii.02.118_124.pdf,Q35612-0E60F286-9218-48EC-A7F0-C03541A9BB6F,B4VZ6U24
Q35613,https://www.inguma.eus/fso/fitxategia/275-ikergazte.ii.02.110_117.pdf,Q35613-2831682E-C42C-44C8-805E-A2FDF1CDFC55,VYQD68A5
Q35614,https://www.inguma.eus/fso/fitxategia/274-ikergazte.ii.02.102_109.pdf,Q35614-75AF21EB-AB8F-4D2C-8A7E-770ADA970CC7,37PNQXWI
Q35615,https://www.inguma.eus/fso/fitxategia/273-ikergazte.ii.02.93_101.pdf,Q35615-52F01C5D-1863-4B53-AD6F-96AD2E534A24,MMQR8FR5
Q35620,https://www.inguma.eus/fso/fitxategia/268-ikergazte.ii.02.50_57.pdf,Q35620-B4A85CCC-06A7-43E3-AA3D-00527EF62830,D4852JK4
Q35624,https://www.inguma.eus/fso/fitxategia/264-ikergazte.ii.02.18_25.pdf,Q35624-30BF6AAD-4739-42DF-8B57-F4CE8C78F272,TVQMM8HM
Q35628,https://www.inguma.eus/fso/fitxategia/356-ikergazte.ii.04.153_159.pdf,Q35628-EEA9C613-B1B0-440F-9FBB-26D7946C7BEE,HH4R5HII
Q35630,https://www.inguma.eus/fso/fitxategia/354-ikergazte.ii.04.139_144.pdf,Q35630-F39120F0-496A-4ED8-AE9A-80F2CB9894C9,I6RZMYSD
Q35634,https://www.inguma.eus/fso/fitxategia/350-ikergazte.ii.04.114_119.pdf,Q35634-E0F69C01-548C-48A6-AECA-7D8BC5DA7795,JZ2YW7P6
Q35635,https://www.inguma.eus/fso/fitxategia/349-ikergazte.ii.04.108_113.pdf,Q35635-525BECD9-E60D-4EC2-80D9-8FB7FB610D89,7JN5WLHM
Q35637,https://www.inguma.eus/fso/fitxategia/347-ikergazte.ii.04.94_101.pdf,Q35637-E26C0969-A7F7-4F0A-B3BD-6B3074556C68,6VKFFDV8
Q35639,https://www.inguma.eus/fso/fitxategia/345-ikergazte.ii.04.80_87.pdf,Q35639-71E26A3D-6DBF-4E39-A7B4-A6AE5FA89E4A,US9AATYK
Q35640,https://www.inguma.eus/fso/fitxategia/344-ikergazte.ii.04.73_79.pdf,Q35640-079CCE3F-FFAD-4FD8-9605-B306216E3CB1,BG4UDAFI
Q35642,https://www.inguma.eus/fso/fitxategia/342-ikergazte.ii.04.58_65.pdf,Q35642-AE95D437-CAD1-45DA-BA4F-7496FC438D36,XPPETP8D
Q35645,https://www.inguma.eus/fso/fitxategia/339-ikergazte.ii.04.34_41.pdf,Q35645-14F8862D-4A12-40DF-9828-28D25CC94DE1,J7VLJ5K5
Q35648,https://www.inguma.eus/fso/fitxategia/336-ikergazte.ii.04.10_17.pdf,Q35648-0E37AE39-BB3C-4ECA-9696-D48F122FDB64,HQHFNVB8
Q35649,https://www.inguma.eus/fso/fitxategia/312-ikergazte.ii.01.167_175.pdf,Q35649-3C869942-AFB3-431A-A105-C5D59EC50B95,ZBTR5AJC
Q35652,https://www.inguma.eus/fso/fitxategia/309-ikergazte.ii.01.142_149.pdf,Q35652-A364DAA5-A972-4294-B585-903E468CDA4D,4UDQCH2G
Q35653,https://www.inguma.eus/fso/fitxategia/308-ikergazte.ii.01.135_141.pdf,Q35653-127EBD5D-9AA0-4A9B-96F4-1683663BC67B,6H2NVWWJ
Q35654,https://www.inguma.eus/fso/fitxategia/307-ikergazte.ii.01.127_134.pdf,Q35654-B7DD086B-C737-42BB-A225-196EAA2AA9BF,867QLRQN
Q35656,https://www.inguma.eus/fso/fitxategia/305-ikergazte.ii.01.111_118.pdf,Q35656-1A3FBB38-6464-4A8A-B13B-792895028E39,ZY46D4Y9
Q35659,https://www.inguma.eus/fso/fitxategia/301-ikergazte.ii.01.88_95.pdf,Q35659-ED035F56-C610-4952-9ECD-B23F4B68B671,RRFFWBC5
Q35660,https://www.inguma.eus/fso/fitxategia/300-ikergazte.ii.01.80_87.pdf,Q35660-0C180737-1F66-4DE4-AC2B-A8FE1D7FA290,XJXTUE7L
Q35662,https://www.inguma.eus/fso/fitxategia/298-ikergazte.ii.01.67_71.pdf,Q35662-2C74989C-CAB1-4549-A1C5-FDBBA90DB8E3,ZJ8CDRJ4
Q35664,https://www.inguma.eus/fso/fitxategia/296-ikergazte.ii.01.56_60.pdf,Q35664-A06CD4DA-D9A5-4C7D-9A59-9C06182F08D5,WAM48PZS
Q35669,https://www.inguma.eus/fso/fitxategia/291-ikergazte.ii.01.15_21.pdf,Q35669-18F58CFD-AE65-419E-BA7F-771C38AA98DA,KTFVT6E6
Q35673,https://www.inguma.eus/fso/fitxategia/501-ikergazte.i.816_823.pdf,Q35673-8C6363ED-4FD6-495A-9B87-5028DD45F912,B4SKRY8X
Q35676,https://www.inguma.eus/fso/fitxategia/498-ikergazte.i.796_800.pdf,Q35676-1612F132-F845-427B-A397-E332AFDAB73D,DZ4V8XCP
Q35678,https://www.inguma.eus/fso/fitxategia/496-ikergazte.i.784_789.pdf,Q35678-BF689911-7E70-4D81-90A6-15D6A694794B,2IPJ6JM4
Q35684,https://www.inguma.eus/fso/fitxategia/490-ikergazte.i.745_750.pdf,Q35684-02A9D4FE-B2D1-4A30-8E45-24F7CA7A30B6,65LITHLZ
Q35690,https://www.inguma.eus/fso/fitxategia/484-ikergazte.i.703_709.pdf,Q35690-D5015838-7C83-479C-8122-A2F71500A5E3,5WSW2ZNS
Q35691,https://www.inguma.eus/fso/fitxategia/483-ikergazte.i.696_701.pdf,Q35691-B1E02CFC-712E-4476-89D7-2E53CC4D4536,CH5CABF7
Q35694,https://www.inguma.eus/fso/fitxategia/480-ikergazte.i.676_684.pdf,Q35694-4DCAC479-25E6-4C10-BD9E-47E581B19E02,K5Z232ID
Q35695,https://www.inguma.eus/fso/fitxategia/479-ikergazte.i.669_675.pdf,Q35695-A4EAB1F3-D21E-43FA-83F7-4F8B5FF142CA,YNF2UPK4
Q35696,https://www.inguma.eus/fso/fitxategia/478-ikergazte.i.661_668.pdf,Q35696-5A04B37A-8F95-45D8-8E62-9BAD87766DE0,PD33S34A
Q35699,https://www.inguma.eus/fso/fitxategia/475-ikergazte.i.638_645.pdf,Q35699-B9EA6FB2-7D12-4A29-9ED4-6B92CC85E7F9,H36NN2LQ
Q35700,https://www.inguma.eus/fso/fitxategia/474-ikergazte.i.631_637.pdf,Q35700-7875EBA0-80C4-4B7B-B0F7-3045462A2D9E,6UXFFGWH
Q35705,https://www.inguma.eus/fso/fitxategia/469-ikergazte.i.599_606.pdf,Q35705-44F6643B-E923-4908-B9AD-36839939CEDE,2PD4D7YS
